Proportion,Dana\miR-8-RA,Dmel\bft-RA,Dana\miR-184-RB,Dmel\mir-33-RA,Dmel\mir-10-RB,Dana\miR-9a-RA,aae.miR.305.5p,Dvir\miR-315a-RA,Dmel\mir-375-RA,Dana\let-7-RA,Dana\miR-125-RA,aae.miR.276.3p,hme.let.7,Dmel\mir-957-RA,oha.miR.125b.5p,Dvir\miR-125-RA,mse.let.7a
0.751,3221.069462,927.9658533,444.899097,138.6211923,190.6041394,134.4063588,75.16453165,68.13980906,11.94202839,2.809889034,1.639101936,10.06876904,0.702472258,3.746518711,0.234157419,0.234157419,0
0.74,3638.979009,1164.768535,518.9051203,134.3395902,207.4144222,80.45612818,111.4575721,45.0259066,12.54820348,1.476259233,0,16.97698118,2.214388849,0.738129616,0,0,0
0.74,1945.744689,3666.568431,1895.762256,70.21341689,141.6168917,52.36254819,49.98243237,36.89179532,21.42104244,1.190057913,4.760231654,15.47075288,0,3.57017374,1.190057913,1.190057913,0
0.76,5519.935643,1210.043603,406.5334827,191.6269943,325.422824,163.2015066,98.0189229,35.04176494,33.57148109,0.980189229,0.245047307,14.94788574,0.490094615,1.715331151,0,0,0
0.75,5053.675964,1912.258698,552.3834387,204.5083724,244.5667133,111.741688,90.65835063,33.73333977,29.5166723,0,2.108333736,16.86666989,0,8.433334943,0,0,0
0.74,7117.954049,1115.220562,527.5069016,330.1403738,299.4389139,113.2365533,167.0637882,55.82083615,28.70785859,1.196160775,1.196160775,14.35392929,0,2.791041807,0,0,0
0.748,1332.811613,8236.002106,1097.19584,42.19984,45.71649333,119.5662133,35.16653333,0,0,569.6978399,397.3818266,14.06661333,312.9821466,3.516653333,59.78310666,52.74979999,17.58326666
0.749,1166.51208,8143.480108,1466.931642,48.22788959,50.23738499,169.8023613,24.1139448,4.0189908,12.0569724,312.4765347,313.4812824,18.0854586,209.9922693,8.037981599,39.1851603,26.1234402,10.047477
0.745,1229.989631,8687.996705,1454.637996,65.3232835,65.3232835,114.7140588,15.93250817,1.593250817,6.373003268,551.2647827,363.2611863,22.30551144,307.4974077,17.52575899,84.4422933,38.23801961,19.1190098
