,Con_Early_Pf,Con_Early_Pf,Con_Early_Pf,Fast_Early_Pf,Fast_Early_Pf,Fast_Early_Pf,Slow_Early_Pf,Slow_Early_Pf,Slow_Early_Pf
dvi.miR.993.3p,4,1,5,4,2,2,0,1,0
mse.miR.2779,3,0,1,1,3,2,1,0,0
hsa.miR.143.3p,6,0,6,8,3,4,0,0,0
cqu.miR.275,12,0,5,17,3,10,0,0,0
eca.miR.126.5p,7,2,9,11,3,3,0,0,1
mmu.miR.27b.3p,7,2,10,14,7,2,1,0,0
aae.miR.252.5p,4,0,6,7,5,5,0,0,1
dvi.miR.996.3p,6,5,5,5,11,5,0,0,0
cel.miR.39.3p,1,0,0,3,3,3,40,1,1
str.miR.34a.5p,2,2,3,3,2,0,0,0,0
lmi.miR.276.5p,7,1,7,6,3,2,0,0,0
dme.miR.34.5p,5,0,4,5,5,1,0,3,0
hsa.miR.186.5p,3,1,11,7,2,4,1,0,0
lmi.miR.8.3p,3,1,7,8,5,4,0,0,0
cgr.miR.1260,4,0,3,1,3,1,0,1,2
gma.miR166a.3p,0,1,2,1,0,0,1,0,0
aga.miR.1000,2,2,5,2,0,1,1,1,0
cqu.miR.281.3p,5,0,4,3,1,6,0,0,0
aae.miR.92a.3p,2,1,1,3,0,0,3,2,0
bta.miR.22.3p,2,2,6,6,2,3,0,1,1
dme.miR.iab.4.5p,6,0,11,13,2,5,0,1,0
dme.miR.124.5p,2,2,3,7,0,0,1,0,0
bta.miR.30a.5p,1,2,11,7,2,2,0,0,0
eca.miR.423.5p,5,3,8,7,4,3,0,0,0
ssc.miR.21,2,2,11,4,2,3,8,0,0
dya.miR.184.5p,2,1,0,0,4,3,0,0,0
mse.let.7a,0,0,0,1,0,0,0,0,0
ppy.miR.92,5,2,3,3,0,4,3,1,1
dvi.miR.34.5p,3,0,1,2,0,1,0,1,0
chi.miR.125b.5p,1,0,1,2,1,3,0,0,0
chi.miR.100.5p,1,1,8,8,3,2,0,0,0
dsi.miR.980.3p,1,1,3,3,2,2,0,0,0
bta.miR.191,1,2,1,4,4,2,0,0,0
chi.miR.22.3p,1,0,6,6,1,3,0,0,0
dvi.miR.965.3p,2,0,7,6,1,3,0,0,0
dme.miR.956.3p,1,1,3,3,1,2,0,0,0
cfa.miR.125a,1,1,9,4,4,2,0,0,0
dme.miR.987.5p,4,2,0,6,1,3,0,0,0
tca.miR.190.5p,1,1,6,5,1,2,1,0,0
dmo.miR.318,2,1,5,9,4,0,2,0,0
dme.miR.996.5p,1,3,1,3,1,0,0,0,0
api.miR.8,4,3,2,3,3,4,0,0,0
api.miR.263a,0,1,1,1,0,0,1,0,0
mne.miR.184,3,1,2,0,5,0,0,0,0
dvi.miR.125.3p,0,1,0,0,0,0,0,0,0
lva.miR.137.3p,4,2,6,8,3,2,0,0,0
dsi.miR.932.5p,0,0,0,1,0,0,0,0,0
sko.miR.315,6,0,1,3,0,0,0,0,0
tca.miR.252a.5p,3,0,2,1,1,0,2,0,1
ssa.miR.30c.5p,2,0,5,2,2,0,0,0,0
api.miR.2a,3,2,1,3,0,3,0,0,0
nvi.miR.283,5,2,2,3,4,2,0,0,0
dme.miR.9a.3p,0,1,1,3,2,0,0,0,0
ola.miR.192.5p,1,1,4,2,2,0,0,0,0
mdo.miR.26.5p,1,1,1,6,2,0,0,0,0
dps.miR.995.3p,3,2,1,1,5,1,0,0,0
xtr.miR.10b,1,0,0,2,1,0,1,0,0
tgu.miR.142.5p,1,0,2,3,3,0,0,0,0
dvi.miR.2a.2.5p,2,0,1,1,1,0,0,0,0
dvi.miR.274,0,0,1,0,0,0,0,0,0
aae.miR.308.3p,1,1,2,5,0,0,0,0,0
hsa.miR.151a.5p,1,0,3,0,0,0,0,0,0
dps.miR.927.3p,0,0,2,2,0,0,0,0,0
aga.miR.92b,0,0,1,0,2,0,0,0,1
mse.miR.2b,0,0,0,0,0,0,0,0,0
hsa.miR.1246,1,1,3,2,2,0,0,0,0
mmu.miR.99b.5p,1,0,0,1,1,1,8,0,6
chi.miR.26b.5p,0,0,2,0,0,2,0,0,0
oar.miR.30a.5p,1,1,2,3,0,0,0,0,0
bmo.miR.279a,1,1,0,1,0,0,0,0,0
dsi.miR.981.3p,2,0,0,3,0,1,0,0,0
bmo.miR.210,0,0,0,0,0,0,0,0,0
atr.miR166b,0,0,0,1,0,0,1,0,0
aca.let.7f.5p,2,0,0,0,1,0,0,0,0
cfa.miR.199,4,0,1,4,0,1,0,0,0
nvi.miR.31a,0,0,0,1,1,1,0,0,0
aca.miR.101.3p,1,2,5,2,1,1,0,0,0
sko.miR.252a,1,0,0,1,0,0,0,0,0
pxy.miR.10.3p,1,0,4,0,1,3,0,0,0
cfa.miR.486,2,2,0,1,0,0,0,0,0
dvi.miR.281.2.5p,0,0,0,1,0,4,0,0,0
mdo.miR.186.5p,0,2,2,1,0,0,0,0,0
dpu.miR.31,1,1,1,0,0,2,0,0,0
mdo.miR.22.3p,1,0,3,1,1,1,0,0,0
dvi.miR.282.5p,2,0,1,1,1,1,0,0,0
gga.miR.30a.5p,1,0,1,0,0,1,1,0,0
ggo.let.7f,1,0,1,0,0,0,0,0,0
der.miR.6,1,0,0,0,0,0,0,0,0
aae.miR.31,0,0,0,1,0,2,0,0,0
gga.miR.194,1,1,3,1,0,0,0,0,0
cgr.miR.192,0,1,1,0,0,0,0,0,0
api.miR.929,1,1,0,4,1,2,0,0,0
mml.miR.130a.3p,0,1,0,0,0,0,2,0,0
chi.miR.99a.5p,0,1,2,0,0,1,0,0,0
dpu.miR.92,1,0,1,2,0,0,0,0,0
mmu.let.7i.5p,1,0,2,1,0,0,0,0,0
gga.miR.30c.5p,0,0,2,0,0,0,0,0,0
dme.miR.274.5p,0,0,0,0,0,0,0,0,0
bta.miR.21.5p,0,0,0,2,1,0,0,0,0
mse.miR.263b,0,0,0,0,0,0,0,0,0
