Stage,miR957,let7,miR184,miR277,miR92b,miR8,miR31a,miR276b,bantam,miR277o,miR317,miR305,miR10a,miR10,miR1,miR22
Mid Puparial 2,5.171536114,5.186617448,1.376753747,1.804078888,0.211202094,2.865506653,1.825205307,5.751235497,1.402906884,0.734602938,1.901011707,0.8568399,0.008895508,0.635215162,0.795346688,1.577031125
Late Puparial,4.427419375,4.215801006,3.344868957,3.383159658,0.385224682,4.577083696,3.177562309,23.95472367,46.16652941,40.39314743,9.542569192,4.301106615,0.926738817,9.780708141,0.785094018,2.992481696
Late Puparial,14.15284827,9.432292463,9.86100486,5.017942536,0.748369825,9.57880577,5.524267562,46.6440412,16.24057368,6.596324622,3.351411837,1.51057638,10.62028091,1.282319332,1.714656725,34.00945981
Late Puparial,3.289379806,1.53371248,2.782893659,1.514720831,0.29592595,4.844213117,1.341009723,10.37091529,6.298502782,2.337241998,2.025456666,0.912930772,1.246003011,0.053964189,0.033422763,24.61289446
Late Puparial,0.426863396,0.731979767,0.64528939,0.605296947,0.064410785,0.492984764,0.345979973,1.52884856,4.481398241,2.209541656,0.977512618,0.440592665,0.422542163,0.963987388,0.90836616,0.072600665
Late Puparial,1.198777902,1.810078152,1.133534891,1.653620839,0.108269617,1.382244677,0.955846844,3.851817387,2.49741189,2.080622895,1.30637716,0.588821242,0.300603527,0.674430097,1.433705698,0.349424332
Late Puparial,6.920531019,4.675471139,6.049535403,75.34515304,0.333981673,8.043241934,8.169650367,9.581790336,49.41761099,43.93569466,17.01405774,7.668718436,4.188751229,7.382205302,11.04153673,50.30186551
Late Puparial,8.53561127,22.84848124,13.99910707,16.58186262,0.943379059,20.31472259,10.63624077,46.22446696,105.5435891,58.18554542,34.12129941,15.37943752,4.410256447,25.84450321,3.34829998,2.302390526
Late Puparial,0.740715607,0.08278589,0.253016144,2.772265193,0.450630156,NA,0.03835936,0.112661391,17.24987298,4.502000034,5.037493273,2.270541109,18.87055486,5.368890605,0.954291805,1.238247213
Late Puparial,0.546007121,0.062351369,NA,2.442548645,0.262773532,0.53616644,0.134176044,1.326092154,6.296141073,3.6220009,2.014457221,0.907973011,12.58530189,0.515900485,1.140285347,0.377537184
