"","Con_Early_Pf_1","Con_Early_Pf_2","Con_Early_Pf_3","Con_Mid_Pup_2_1","Con_Mid_Pup_2_2","Con_Mid_Pup_2_3","Early_PF_1","Early_PF_2","Early_PF_3","Early_Pup_1","Early_Pup_2","Early_Pup_3","Fast_Early_Pf_1","Fast_Early_Pf_2","Fast_Early_Pf_3","Fast_Mid_Pup_2_1","Fast_Mid_Pup_2_2","Fast_Mid_Pup_2_3","Feed_3rd_1","Feed_3rd_2","Feed_3rd_3","Late_PF_1","Late_PF_2","Late_PF_3","Late_Pup_1","Late_Pup_2","Late_Pup_3","Mid_Pup_1_1","Mid_Pup_1_2","Mid_Pup_1_3","Mid_Pup_2_1","Mid_Pup_2_2","Mid_Pup_2_3","Slow_Early_Pf_1","Slow_Early_Pf_2","Slow_Early_Pf_3","Slow_Mid_Pup_2_1","Slow_Mid_Pup_2_2","Slow_Mid_Pup_2_3"
">FBtr0290482",0,0,0,0,0,0,0,0,0,2.68241248291413,4.45116445380148,0,0,0,0,0,0,0,0,0,0,0,0.835397474175267,0,4.93779927847742,6.65248332390696,3.96490696486932,15.1475464473126,8.82437881531606,7.70654934944374,2.37835697472,11.3135633924789,4.42456947776635,0,0,0,11.2247334169395,6.05504120506647,14.6694322393497
">FBtr0290484",0.587255397523352,0,0,1.97497137038574,0.656419296541579,1.04328513593353,0,0.810540305075662,1.71679209678385,5.36482496582826,11.869771876804,12.0748923653293,0,0,0.825143878050113,0,0,0,0.305606093975806,0.217630196438697,0.449475226540966,0,5.0123848450516,4.0646618121254,75.712922269987,126.397183154232,95.1577671568636,48.4721486314002,45.592623879133,25.4316128531643,68.9723522668799,154.618699697212,181.40734858842,3.59147684338279,0,0,221.688484984555,96.8806592810636,202.927145977671
">FBtr0290486",0,0,0,0.658323790128579,0,2.08657027186705,0,0,0.245256013826264,4.0236187243712,14.8372148460049,10.2172166168171,0.369570603100613,0,0,0,1.54985232100259,0,0,0,0,0,2.5061924225258,4.0646618121254,83.9425877341161,133.049666478139,55.5086975081704,78.7672415260253,50.004813286791,30.8261973977749,59.4589243679999,109.364446127296,168.133640155121,0,0,0,140.309167711744,99.5717887055376,130.802437467535
">FBtr0290492",4.69804318018681,4.16803816871446,9.77275372848425,0.877765053504772,1.31283859308316,0,1.84907601617437,1.21581045761349,5.27300429726469,0,1.48372148460049,0,1.10871180930184,7.28779372076288,2.88800357317539,2.95692667395308,0,5.60563273268288,4.8896975036129,2.39393216082567,2.24737613270483,0,0,4.0646618121254,4.93779927847742,6.65248332390696,0,0,2.94145960510535,0.770654934944374,0,0,0,0,0,0,0,0,0
">FBtr0290498",2.34902159009341,1.04200954217862,0.349026918874438,3.73050147739528,7.22061226195737,4.17314054373411,1.84907601617437,1.21581045761349,1.71679209678385,2.68241248291413,1.48372148460049,1.8576757485122,2.58699422170429,2.42926457358763,0.412571939025056,0.788513779720821,1.54985232100259,0.989229305767568,1.52803046987903,1.52341137507088,0.449475226540966,0,1.67079494835053,4.0646618121254,4.93779927847742,19.9574499717209,11.894720894608,7.57377322365628,2.94145960510535,1.54130986988875,7.13507092415999,26.3983145824508,0,0,0,0,8.41855006270463,9.41895298565896,8.55716880628734
">FBtr0290506",266.613950475602,255.292337833761,325.293088390976,225.36617748735,297.357941333335,494.517154432492,130.128724638271,199.392915048613,145.314188192062,563.306621411967,370.930371150124,457.917072008258,236.340400682842,304.629777527889,364.71359409815,424.417541934732,379.713818645635,237.744776486139,156.775926209589,144.724080631734,146.528923852355,418.201338119183,261.479409416859,292.655650473029,116.861249590632,286.056782927999,99.1226741217329,699.81664586584,605.940678651702,525.586665632063,570.805673932799,663.729052358762,1548.59931721822,384.288022241959,525.886827203212,372.14913663023,1344.16182667851,1087.88906984361,1102.65232332445
">FBtr0290508",5.87255397523352,8.33607633742893,4.18832302649325,1.75553010700954,0,7.30299595153469,1.15567251010898,7.70013289821879,3.8014682143071,2.68241248291413,5.93488593840198,3.71535149702441,4.61963253875766,6.80194080604536,12.7897301097767,5.71672490297596,0,7.58409134421802,8.25136453734676,5.44075491096743,5.39370271849159,5.22751672648979,10.0247696901032,0,0,0,0,3.02950928946251,4.41218940765803,1.54130986988875,4.75671394943999,3.77118779749296,0,0,5.53565081266539,0,0,0.672782356118497,2.44490537322495
">FBtr0290510",1.46813849380838,1.04200954217862,0.698053837748875,2.41385389713812,2.62567718616632,3.12985540780058,1.84907601617437,1.62108061015132,2.20730412443638,1.34120624145707,1.48372148460049,3.71535149702441,0.739141206201226,2.91511748830515,0.825143878050113,3.15405511888329,0,2.63794481538018,0.916818281927418,0.870520785754789,2.69685135924579,5.22751672648979,2.5061924225258,8.1293236242508,1.64593309282581,0,0,15.1475464473126,13.2365682229741,8.47720428438811,9.51342789887999,3.77118779749296,8.8491389555327,3.59147684338279,0,5.09793337849631,2.80618335423488,2.69112942447399,4.88981074644991
">FBtr0290516",32.0054191650227,36.4703339762516,26.8750727533317,22.1635676009955,15.7540631169979,9.38956622340175,30.2786197648553,25.1267494573455,39.6088462329417,52.3070434168255,112.762832829638,93.8126252998663,36.4027044054104,20.4058224181361,17.3280214390524,22.2755142771132,10.8489662470181,28.0281636634144,33.0054581493871,33.9503106444368,35.9580181232773,31.3651003589387,30.9097065444849,52.8406035576302,64.1913906202064,26.6099332956278,59.4736044730398,209.036140972913,223.550929988007,144.883127769542,154.5932033568,135.762760709747,22.1228473888318,3.59147684338279,0,10.1958667569926,50.5113003762278,36.3302472303988,37.8960332849868
">FBtr0290526",0.880883096285028,0,0.349026918874438,0.877765053504772,3.28209648270789,0,1.61794151415257,2.02635076268915,0.490512027652529,1.34120624145707,1.48372148460049,0,0.923926507751532,2.91511748830515,1.65028775610023,0.197128444930205,0,0,3.05606093975806,1.30578117863218,6.29265317157352,0,1.67079494835053,0,0,0,0,0,0,0,2.37835697472,0,0,0,0,10.1958667569926,0,0,0
