,Con_Early_Pf_1,Con_Early_Pf_2,Con_Early_Pf_3,Con_Mid_Pup_2_1,Con_Mid_Pup_2_2,Con_Mid_Pup_2_3,Early_PF_1,Early_PF_2,Early_PF_3,Early_Pup_1,Early_Pup_2,Early_Pup_3,Fast_Early_Pf_1,Fast_Early_Pf_2,Fast_Early_Pf_3,Fast_Mid_Pup_2_1,Fast_Mid_Pup_2_2,Fast_Mid_Pup_2_3,Feed_3rd_1,Feed_3rd_2,Feed_3rd_3,Late_PF_1,Late_PF_2,Late_PF_3,Late_Pup_1,Late_Pup_2,Late_Pup_3,Mid_Pup_1_1,Mid_Pup_1_2,Mid_Pup_1_3,Mid_Pup_2_1,Mid_Pup_2_2,Mid_Pup_2_3,Slow_Early_Pf_1,Slow_Early_Pf_2,Slow_Early_Pf_3,Slow_Mid_Pup_2_1,Slow_Mid_Pup_2_2,Slow_Mid_Pup_2_3
>aae-miR-305-5p,275,74,308,152,66,19,42,47,110,39,25,49,507,218,282,171,20,197,97,133,59,28,44,8,11,2,6,40,23,35,15,10,5,8,6,6,5,7,5
>aae-miR-317,10,1,0,21,7,1,4,2,3,1,4,3,10,2,0,5,0,4,4,1,1,1,3,0,1,1,0,2,2,1,3,0,2,0,1,0,2,2,1
>aca-miR-9-5p,2,1,1,7,1,2,5,0,15,1,2,4,9,1,2,2,1,2,1,1,1,0,1,0,1,0,0,2,1,2,1,0,0,0,1,0,1,1,0
>aga-miR-11,194,63,230,177,67,66,304,183,551,56,42,98,344,144,121,348,48,195,179,322,136,24,89,9,51,7,28,89,61,99,12,14,15,14,10,10,19,71,44
>aga-miR-184,26,7,23,47,14,53,62,57,98,6,4,2,22,22,20,35,15,36,90,138,73,3,6,5,12,1,5,8,4,20,7,3,5,3,4,3,6,21,18
>aga-miR-92a,13,3,1,35,9,2,10,6,12,5,7,2,11,0,3,19,1,4,9,8,5,4,4,2,1,0,0,1,3,4,3,1,2,2,3,1,0,3,3
>ame-miR-317,542,76,284,465,269,22,277,223,545,34,13,34,465,186,317,267,14,327,286,332,186,62,148,49,4,3,6,35,58,122,2,2,6,25,24,8,14,36,18
>api-miR-275,22,8,19,46,16,12,8,10,33,8,11,14,40,23,19,43,5,16,11,18,7,1,12,0,2,0,2,9,15,28,4,3,3,0,0,0,10,65,25
>bmo-miR-190-5p,8,1,6,9,4,3,3,0,8,3,0,4,13,12,3,5,1,3,5,2,2,0,0,0,3,1,0,1,3,1,0,1,2,0,0,3,4,11,3
>bmo-miR-263a-5p,44,3,34,49,13,5,25,16,57,7,11,25,76,20,27,50,3,17,13,24,8,8,19,2,23,9,7,11,10,21,5,6,1,3,2,1,6,27,7
>cel-miR-39-3p,1,0,0,2,0,0,1,0,0,0,0,0,1,2,2,0,0,2,2,1,2,2,0,0,0,0,1,0,0,1,0,0,2,19,1,0,0,0,1
>chi-miR-125b-5p,1,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,1,0,14,3,4,1,0,0,0,0,2,0,0,0,1,2,1
>cqu-bantam-3p,37,2,20,27,8,2,26,13,52,5,0,4,19,12,15,24,3,16,18,30,20,0,5,1,8,0,4,2,7,5,2,4,0,0,0,0,1,0,0
>cqu-miR-305-5p,79,12,65,41,31,4,17,23,55,14,8,22,121,40,44,97,7,44,17,40,12,4,10,5,6,1,3,9,11,13,2,3,1,0,0,0,1,1,2
>cqu-miR-8-3p,357,102,304,283,65,35,228,150,455,44,52,69,448,242,253,328,34,236,229,229,122,33,70,18,27,7,19,46,42,67,33,8,3,3,3,9,7,17,5
>cte-miR-34,1,2,2,12,5,3,4,5,14,1,1,1,5,2,2,11,3,6,2,5,3,0,2,0,0,0,0,1,0,1,1,0,0,0,1,0,0,3,1
>dme-miR-34-3p,9,6,17,48,20,24,23,16,46,1,0,0,8,3,10,42,10,11,10,11,6,3,12,1,0,1,0,11,10,10,0,0,0,0,1,0,0,1,0
>dme-miR-8-5p,326,48,295,209,90,98,180,130,340,41,51,50,259,189,239,391,57,277,201,289,133,25,72,14,93,19,29,27,38,63,32,26,20,45,15,29,39,138,82
>dme-miR-9b-3p,8,2,10,8,3,0,7,5,10,6,2,4,15,2,4,5,0,4,4,6,2,0,6,0,2,0,1,17,10,16,4,3,0,0,0,0,0,0,0
>dre-miR-10a-5p,5,1,9,5,0,0,2,3,4,1,0,1,7,2,5,12,8,3,9,5,5,1,7,3,12,0,0,0,0,0,0,1,9,18,0,57,1,4,1
